gene tissue chr pos LRstat logP
FBgn0000015 Body 3R 90000 29.1203537736105 3.86152497237513
FBgn0000015 Body 3R 1e+05 29.0489564344161 3.84849919424755
FBgn0000015 Body 3R 110000 29.6862925932528 3.96497151832663
FBgn0000015 Body 3R 120000 29.3654724209227 3.90628708571738
FBgn0000015 Body 3R 130000 29.7220797818004 3.97152452505416
FBgn0000015 Body 3R 140000 29.1258060876162 3.86251992688141
FBgn0000015 Body 3R 150000 57.9038571215519 9.40326040557732
FBgn0000015 Body 3R 160000 28.946111610398 3.82974602016547
FBgn0000015 Body 3R 170000 32.1172074562896 4.41303847083375
FBgn0000015 Body 3R 180000 31.2931758139698 4.26050463865384
FBgn0000015 Body 3R 190000 29.3750205429064 3.90803203018544
FBgn0000015 Body 3R 2e+05 28.9245335128571 3.82581286567997
FBgn0000015 Body 3R 210000 32.0912983586995 4.40823287243474
FBgn0000015 Body 3R 220000 29.4987794117997 3.93065819596384
FBgn0000015 Body 3R 230000 29.2317450398932 3.88185845515172
FBgn0000015 Body 3R 240000 29.8729703460122 3.99916903946499
FBgn0000015 Body 3R 250000 30.1706323303224 4.05377324569845
FBgn0000015 Body 3R 260000 29.7136962400587 3.96998928952473
FBgn0000015 Body 3R 270000 29.520166124209 3.93456988348801
FBgn0000015 Body 3R 280000 30.958029272761 4.1986520855396
FBgn0000015 Body 3R 290000 28.9368565110017 3.82805898058029
FBgn0000015 Body 3R 3e+05 33.2807402466433 4.6294712553741
FBgn0000015 Body 3R 310000 28.8904122197528 3.8195944545778
FBgn0000015 Body 3R 320000 29.739299741781 3.97467816253035
FBgn0000015 Body 3R 330000 30.3343970349842 4.08385388009854
FBgn0000015 Body 3R 340000 35.589197497754 5.06225091159461
FBgn0000015 Body 3R 350000 31.1724727165988 4.23821585017281
FBgn0000015 Body 3R 360000 28.9483621609866 3.83015626980375
FBgn0000015 Body 3R 370000 29.2492219411915 3.88504993983714
FBgn0000015 Body 3R 380000 29.3612924841973 3.90552322232541
FBgn0000015 Body 3R 390000 32.6392535815849 4.50999722162298
FBgn0000015 Body 3R 4e+05 35.5946149250744 5.06327150157925
FBgn0000015 Body 3R 410000 29.9268618018559 4.00904824269078
FBgn0000015 Body 3R 420000 28.9630985728795 3.83284268829426
FBgn0000015 Body 3R 430000 28.7416730973268 3.79250280840476
FBgn0000015 Body 3R 440000 31.1805032734392 4.23969831869563
FBgn0000015 Body 3R 450000 37.6376647768716 5.44969411585206
FBgn0000015 Body 3R 460000 31.0985461815781 4.2245716991864
FBgn0000015 Body 3R 470000 30.7204736705266 4.15487701664761
FBgn0000015 Body 3R 480000 38.9760492091882 5.70440131945446
FBgn0000015 Body 3R 490000 35.1144004806051 4.97289100170592
FBgn0000015 Body 3R 5e+05 31.7203758338542 4.33950257756182
FBgn0000015 Body 3R 510000 38.2541042238227 5.56686120028864
FBgn0000015 Body 3R 520000 34.0830852990171 4.77940080707276
FBgn0000015 Body 3R 530000 29.2724676772064 3.88929539681596
FBgn0000015 Body 3R 540000 29.0319947659832 3.84540552298398
FBgn0000015 Body 3R 550000 29.8113713774401 3.98788065358507
FBgn0000015 Body 3R 560000 29.1832931606637 3.87301232584223
FBgn0000015 Body 3R 570000 29.8448697435965 3.99401893826964
FBgn0000015 Body 3R 580000 32.6911540519386 4.51964999823801
FBgn0000015 Body 3R 590000 31.7802520629834 4.3505887019402
FBgn0000015 Body 3R 6e+05 33.3330824715854 4.63923553897812
FBgn0000015 Body 3R 610000 33.0829165026994 4.59258915626382
FBgn0000015 Body 3R 620000 30.4646461114889 4.10779784185536
FBgn0000015 Body 3R 630000 31.1339124326159 4.23109836054298
FBgn0000015 Body 3R 640000 31.7966899562239 4.3536327766314
FBgn0000015 Body 3R 650000 29.6953611252457 3.96663193244883
FBgn0000015 Body 3R 660000 30.6312587915686 4.13845161286658
FBgn0000015 Body 3R 670000 30.0263940216773 4.02730213749845
FBgn0000015 Body 3R 680000 31.1362472827122 4.2315292880497
FBgn0000015 Body 3R 690000 30.6519330181081 4.14225724851547
FBgn0000015 Body 3R 7e+05 29.6265435733508 3.95403388193537
FBgn0000015 Body 3R 710000 30.2657966476618 4.07124987572225
FBgn0000015 Body 3R 720000 30.1928395894729 4.05785070689033
FBgn0000015 Body 3R 730000 29.0731164989975 3.85290634345169
FBgn0000015 Body 3R 740000 29.9028869545309 4.00465287740895
FBgn0000015 Body 3R 750000 35.3637076137447 5.01979065688322
FBgn0000015 Body 3R 760000 42.9828189150567 6.47350510425859
FBgn0000015 Body 3R 770000 44.8563231050184 6.83615587965771
FBgn0000015 Body 3R 780000 33.1500610173357 4.60510373214334
FBgn0000015 Body 3R 790000 30.490597796264 4.11257065034622
FBgn0000015 Body 3R 8e+05 32.6683514992565 4.51540874063902
FBgn0000015 Body 3R 810000 29.6691211056273 3.9618277226657
FBgn0000015 Body 3R 820000 28.6152922368383 3.76950311464065
FBgn0000015 Body 3R 830000 33.8764040630731 4.74072793640985
FBgn0000015 Body 3R 840000 30.0026131144245 4.02293985557124
FBgn0000015 Body 3R 850000 32.260321487644 4.43959422306107
FBgn0000015 Body 3R 860000 29.6932046712736 3.96623708592358
FBgn0000015 Body 3R 870000 29.3656762292594 3.90632433119734
FBgn0000015 Body 3R 880000 27.4598207367694 3.56008206735118
FBgn0000015 Body 3R 890000 27.3710147064462 3.54405269445588
FBgn0000015 Body 3R 9e+05 27.0679226457023 3.48941846889746
FBgn0000015 Body 3R 910000 28.0897471620406 3.67405686271245
FBgn0000015 Body 3R 920000 27.4538151753409 3.55899776627498
FBgn0000015 Body 3R 930000 30.9135872387774 4.19045838130839
FBgn0000015 Body 3R 940000 27.6088935185358 3.58701119032282
FBgn0000015 Body 3R 950000 39.7372518421089 5.84978138899606
FBgn0000015 Body 3R 960000 32.6220320954012 4.50679479100923
FBgn0000015 Body 3R 970000 29.0780988081974 3.8538152696383
FBgn0000015 Body 3R 980000 25.9290239305128 3.28517691480187
FBgn0000015 Body 3R 990000 25.8707874931802 3.27477944002195
FBgn0000015 Body 3R 1e+06 25.1469392871381 3.14593663785954
FBgn0000015 Body 3R 1010000 24.6168667611287 3.05206055962551
FBgn0000015 Body 3R 1020000 24.3168566074996 2.99911345281625
FBgn0000015 Body 3R 1030000 24.5869848464431 3.04678079586067
FBgn0000015 Body 3R 1040000 24.581344842989 3.04578442693533
FBgn0000015 Body 3R 1050000 27.748090784004 3.61218068796464
FBgn0000015 Body 3R 1060000 24.8019035371981 3.08478382831297
FBgn0000015 Body 3R 1070000 24.8991656740368 3.10200464071787
FBgn0000015 Body 3R 1080000 23.9756496016776 2.93906283631882
FBgn0000015 Body 3R 1090000 24.6434327333441 3.05675555663258
FBgn0000015 Body 3R 1100000 24.129217610463 2.96606771583618
